track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,1062.81,1008.837,6.662,-0.324,-0.049,4.17,1.86
1,2,200,car,1063.476,1008.804,6.679,-0.327,-0.049,4.17,1.86
1,3,300,car,1064.144,1008.771,6.706,-0.33,-0.049,4.17,1.86
1,4,400,car,1064.814,1008.737,6.744,-0.334,-0.05,4.17,1.86
1,5,500,car,1065.489,1008.703,6.79,-0.339,-0.05,4.17,1.86
1,6,600,car,1066.168,1008.669,6.844,-0.344,-0.05,4.17,1.86
1,7,700,car,1066.852,1008.634,6.902,-0.35,-0.051,4.17,1.86
1,8,800,car,1067.542,1008.598,6.965,-0.356,-0.051,4.17,1.86
1,9,900,car,1068.239,1008.562,7.03,-0.363,-0.052,4.17,1.86
1,10,1000,car,1068.942,1008.524,7.096,-0.371,-0.052,4.17,1.86
1,11,1100,car,1069.651,1008.486,7.164,-0.379,-0.053,4.17,1.86
1,12,1200,car,1070.368,1008.447,7.231,-0.388,-0.054,4.17,1.86
1,13,1300,car,1071.091,1008.407,7.297,-0.398,-0.055,4.17,1.86
1,14,1400,car,1071.82,1008.366,7.362,-0.41,-0.056,4.17,1.86
1,15,1500,car,1072.556,1008.323,7.424,-0.422,-0.057,4.17,1.86
1,16,1600,car,1073.299,1008.279,7.483,-0.435,-0.058,4.17,1.86
1,17,1700,car,1074.047,1008.233,7.539,-0.448,-0.059,4.17,1.86
1,18,1800,car,1074.801,1008.186,7.592,-0.463,-0.061,4.17,1.86
1,19,1900,car,1075.56,1008.138,7.641,-0.477,-0.062,4.17,1.86
1,20,2000,car,1076.324,1008.088,7.686,-0.493,-0.064,4.17,1.86
1,21,2100,car,1077.092,1008.036,7.726,-0.508,-0.066,4.17,1.86
1,22,2200,car,1077.865,1007.983,7.76,-0.522,-0.067,4.17,1.86
1,23,2300,car,1078.64,1007.928,7.789,-0.537,-0.069,4.17,1.86
1,24,2400,car,1079.419,1007.872,7.812,-0.551,-0.07,4.17,1.86
1,25,2500,car,1080.2,1007.815,7.83,-0.564,-0.072,4.17,1.86
1,26,2600,car,1080.983,1007.756,7.841,-0.576,-0.073,4.17,1.86
1,27,2700,car,1081.767,1007.696,7.849,-0.588,-0.075,4.17,1.86
1,28,2800,car,1082.552,1007.635,7.852,-0.6,-0.076,4.17,1.86
1,29,2900,car,1083.337,1007.573,7.853,-0.611,-0.078,4.17,1.86
1,30,3000,car,1084.122,1007.51,7.852,-0.622,-0.079,4.17,1.86
2,1,100,car,1066.303,1037.695,0.004,-0.833,-1.566,4.4,1.86
2,2,200,car,1066.303,1037.611,0.004,-0.828,-1.566,4.4,1.86
2,3,300,car,1066.303,1037.528,0.004,-0.817,-1.566,4.4,1.86
2,4,400,car,1066.303,1037.446,0.004,-0.798,-1.566,4.4,1.86
2,5,500,car,1066.303,1037.366,0.004,-0.772,-1.566,4.4,1.86
2,6,600,car,1066.303,1037.289,0.004,-0.74,-1.566,4.4,1.86
2,7,700,car,1066.303,1037.215,0.004,-0.703,-1.566,4.4,1.86
2,8,800,car,1066.303,1037.144,0.004,-0.662,-1.565,4.4,1.86
2,9,900,car,1066.303,1037.078,0.003,-0.618,-1.565,4.4,1.86
2,10,1000,car,1066.303,1037.016,0.003,-0.571,-1.565,4.4,1.86
2,11,1100,car,1066.303,1036.959,0.003,-0.524,-1.565,4.4,1.86
2,12,1200,car,1066.303,1036.907,0.003,-0.477,-1.565,4.4,1.86
2,13,1300,car,1066.304,1036.859,0.002,-0.431,-1.565,4.4,1.86
2,14,1400,car,1066.304,1036.816,0.002,-0.387,-1.565,4.4,1.86
2,15,1500,car,1066.304,1036.777,0.002,-0.347,-1.565,4.4,1.86
2,16,1600,car,1066.304,1036.742,0.002,-0.31,-1.565,4.4,1.86
2,17,1700,car,1066.305,1036.711,0.002,-0.278,-1.565,4.4,1.86
2,18,1800,car,1066.305,1036.684,0.001,-0.248,-1.565,4.4,1.86
2,19,1900,car,1066.305,1036.659,0.001,-0.219,-1.565,4.4,1.86
2,20,2000,car,1066.305,1036.637,0.001,-0.184,-1.565,4.4,1.86
2,21,2100,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,22,2200,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,23,2300,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,24,2400,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,25,2500,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,26,2600,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,27,2700,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,28,2800,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,29,2900,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,30,3000,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,31,3100,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,32,3200,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,33,3300,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,34,3400,car,1066.306,1036.602,0.0,0.0,-1.565,4.4,1.86
2,35,3500,car,1066.307,1036.566,0.001,-0.198,-1.565,4.4,1.86
2,36,3600,car,1066.307,1036.547,0.001,-0.242,-1.565,4.4,1.86
2,37,3700,car,1066.307,1036.522,0.002,-0.284,-1.565,4.4,1.86
2,38,3800,car,1066.307,1036.494,0.002,-0.328,-1.565,4.4,1.86
2,39,3900,car,1066.307,1036.461,0.002,-0.377,-1.565,4.4,1.86
